20001 20 1478 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 
20002 20 5181 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
20003 20 1992 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 
20004 20 4539 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 
20005 20 4649 0 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 
20006 20 2422 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 
20007 20 5441 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
20008 20 4764 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 
20009 20 3471 0 1 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0 0 0 1 
20010 20 1346 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 
20011 20 3572 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 
20012 20 1390 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 
20013 20 5091 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 
20014 20 4855 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 
20015 20 2417 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 
20016 20 5085 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 
20017 20 4207 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 
20018 20 4331 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 1 1 0 
20019 20 4912 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
20020 20 4503 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 
20021 20 3719 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 
20022 20 1037 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
20023 20 3240 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 
