500006 2
500007 2
500012 2
500014 3
500017 2
500023 2
500025 4
500033 2
500034 2
500044 2
500059 3
500068 2
500074 2
500083 3
500118 2
500119 2
500144 3
500150 2
500151 2
500153 2
500160 2
500161 2
500164 2
500175 2
500178 3
500186 3
500187 3
500208 2
500210 2
500223 2
500270 2
500280 2
500283 2
500302 2
500305 2
500310 2
500313 2
500320 2
500339 2
500347 3
500352 2
500356 2
500361 2
500366 2
500372 2
500376 2
500381 2
500382 2
500398 2
500419 2
500429 3
500444 3
500461 3
500464 2
500470 3
500475 2
500478 2
500488 2
500491 2
500493 2
500499 2
